"Trampling Species Data Matrix - Species Percent Cover Estimates by Site, Transect and Plot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined with D. sitchensis-delete,,,,,,,,,,,,,,,,,NO OBS,,,,,,,,Deleted D. alpinum and combined here,,,Bryo sp 9 - R. elongatum is a synonym for Niphotrichum elongatum. Connor says call them all Niphotricum sp - so group racomitrium with Niphotrichum in to single sp,Newly created col,Newly created col,,Added values from Moss 3,,,,,,Newly created col,,,,,,Newly created col,,,,,,Newly created - Bryo sp. 6 - changed to M lyalli,,,,,,,,
This sheet for raw data after resolving most species and contains comments and notes; NH updated with CGW moss sample id's (Sept 27-29),,,,,,,,,,,,,,,,,,,,,,,,Non-native sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moss,moss,moss,moss,moss,moss,moss,moss,liverwort,moss,moss,liverwort,moss,moss,moss,moss,moss,moss,moss,moss,,moss,moss,moss,moss,,,,,,,,
"Aug 5, 2025 - T. M. and N.H. reassessed and reassigned 2024 sample from TM-3 Quadrat 2 as A. capillaris - tentatively classed as Agrostis idahoensis or pallens to A. capillaris",,,,,,,,,,,,,,Type,forb,woody deciduous shrub,woody evergreen shrub,woody evergreen shrub,conifer,forb,forb,graminoid,graminoid,grass,woody evergreen shrub,graminoid - sedge,forb,forb,forb,woody evergreen shrub,forb,forb,forb/Lycopod,graminoid-rush,graminoid-rush,conifer,deciduous shrub,graminoid-sedge,forb,forb,forb,forb,forb,woody evergreen shrub,forb,forb,forb,deciduous shrub,forb,graminoid,graminoid,graminoid-sedge,deciduous shrub,woody evergreen,forb,forb,forb,forb/Lycopod,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,graminoid-sedge,moss/liverwort,moss/liverwort,moss/liverwort,moss/liverwort,graminoid-sedge,woody evergreen,forb,forb,ground,ground,ground,ground
May 2026 - NH corrected species abbrev for Val sit and Pollya (was Meilya); and removed extraneous columns.,,,,,,,,,,,,,,Family,Rosaceae,Ericaceae,Ericaceae,Ericaceae,Pinaceae,Asteraceae,Asteraceae,Poaceae,Poaceae,Poaceae,Ericaceae,Cyperaceae,Ranunculaceae,Caprifoliaceae,Fabaceae,Ericaceae,Rosaceae,Asteraceae,Lycopodiaceae,Juncaceae,Juncaceae,Pinaceae,Salicaceae,Cyperaceae,Plantaginaceae,Onagraceae,Orobanchaceae,Ranunculaceae,Asteraceae,Ericaceae,Saxifragaceae,Plantaginaceae,Liliaceae,Salicaceae,Asteraceae,Poaceae,Poaceae,Cyperaceae,Rosaceae,Ericaceae,Asteraceae,Asteraceae,Ranunculaceae,Lycopodiaceae,,,Grimmiaceae,Grimmiaceae,Grimmiaceae,Grimmiaceae,Polytrichaceae,Polytrichaceae,Jungermanniaceae,Dicranaceae,Hylocomiaceae,Jungermanniaceae,Brachytheciaceae,Brachytheciaceae,Aulacomniaceae,Hylocomiaceae,Polytrichaceae,Pottiaceae,Dicranaceae,Ditrichaceae,Cyperaceae,Bartramiaceae,Ditrichaceae,Mielichhoferiaceae,Polytrichaceae,Cyperaceae,Ericaceae,Asteraceae,Saxifragaceae,,,,
,,,,,,,,,,,,,,Species binomial,Luetkea pectinata,Vaccinium ovalifolium,Cassiope mertensiana,Phyllodoce empetriformis,Abies lasiocarpa,Hieracium tristis,Erigeron glacialis,Vahlodea atropurpurea,Poa alpina,Agrostis capillaris.idahoensis,Kalmia microphylla,Carex spectabilis,Caltha leptosepala,Valeriana sitchensis,Lupinus arcticus,Phyllodoce glanduliflora,Potentilla flabellifolia,Arnica latifolia,Diphasiastrum alpinum,Juncus drummondii,Luzula piperi,Tsuga mertensiana,Salix barclayi,Carex nigricans,Veronica wormskjoldii,Epilobium anagallidifolium,Castilleja parviflora,Pulsatilla occidentalis,Tonestus lyallii,Gaultheria humifusa,Leptarrhena pyrolifolia,Penstemon procerus,Erythronium grandiflorum,Salix commutata,Antennaria media,Festuca brachyphylla,Danthonia intermedia,Schoenoplectus acutus,Sorbus sitchensis,Vaccinium membranaceum,Antennaria umbrinella,Antennaria rosea,Ranunculus eschscholtzii,Diphasiastrum sitchense,Bryophyta - sp. 1,Bryophyta - sp. 2,Niphotrichum elongatum and ericoides,Niphotrichum pygmaeum,Niphotrichum muticum,Bucklandiella sudetica,Polytrichum spp (mainly commune),Polytricum fomosum,Lophozia ventricosa,Dicranum pallidisetum,Rhytidiopsis robusta,Barbilophozia hatcheri,Sciuro-hypnum oedipodium,Brachythecium spp,Aulacomnium palustre,Rhytidiadelphus squarrosus,Polytrichum piliferum,Streblotrichum convolutum,Dichodontium olympicum,Ceratodon purpureus,Carex hassei,Philonotis Fontana,Ditrichum spp.,Pohlia nutans,Polytrichastrum lyallii,Carex nardina,Phyllodoce x intermedia,Solidago multiradiata,Micranthes tolmiei,cryptogamic crust,litter covered intact soil,bare soil,rock or large stones/gravel
,,,,,,This column: Community Type-2022 transect photos,,This column: community type transect data,,,,,,,luepec,vacova,casmer,phyemp,abilas,hietri,erigla,vahatr,poaalp,agrcap,kalmic,carspe,callep,valsit,luparc,phygla,potfla,arnlat,dipalp,jundru,luzpip,tsumer,salbar,carnig,verwor,epiana,caspar,pusocc,tonlya,gauhum,leppyr,penpro,erygra,salcom,antmed,fesbra,danint,schacu,sorsit,vacmem,antumb,antros,ranesc,dipsit,bryosp1,bryosp2,nipelo,nippyg,nipmut,bucsud,polspp,polfom,lopven,dicpal,rhyrob,barhat,scioed,braspp,aulpal,rhysqu,polpil,strcon,dicoly,cerpur,carhas,phifon,ditspp,pohnut,meilya,carnar,phyint,solmul,mictol,crust,litter,soil,rock
date,Field Data Entry,Plant ID People,notes,treatment,treatcode,community: see Metadata,commun.code - col F - can adjust to accomm col H diffs*,commun,altitude,site,site.name,quad,transect.code,Species code,LUEPEC,VACOVA,CASMER,PHYEMP,ABILAS,HIETRI,ERIGLA,VAHATR,POAALP,AGRCAP,KALMIC,CARSPE,CALLEP,VALSIT,LUPARC,PHYGLA,POTFLA,ARNLAT,DIPALP,JUNDRU,LUZPIP,TSUMER,SALBAR,CARNIG,VERWOR,EPIANA,CASPAR,PUSOCC,TONLYA,GAUHUM,LEPPYR,PENPRO,ERYGRA,SALCOM,ANTMED,FESBRA,DANINT,SCHACU,SORSIT,VACMEM,ANTUMB,ANTROS,RANESC,DIPSIT,Bryosp1,Bryosp2,NIPELOERI,NIPPYG,NIPMUT,BUCSUD,POLSPP,POLFOM,LOPVEN,DICPAL,RHYROB,BARHAT,SCIOED,BRASPP,AULPAL,RHYSQU,POLPIL,STRCON,DICOLY,CERPUR,CARHAS,PHIFON,DITSPP,POHNUT,POLLYA [MEILYA],CARNAR,PHYINT,SOLMUL,MICTOL,crypto.crust,litter,soil,rock
2024-07-25,NH,"TM, NH, with ND, PE",,near,0,phy/vac,PV,cas/vac/phy,1579.9,1,TM,1,TM-1,,0.5,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,
2024-07-25,NH,"TM, NH, with ND, PE",,near,0,phy/vac,PV,cas/vac/phy,1579.9,1,TM,2,TM-1,,0.5,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,
2024-07-25,NH,"TM, NH, with ND, PE",wrote >95,near,0,phy/vac,PV,cas/vac/phy,1579.9,1,TM,3,TM-1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,
2024-07-25,NH,"TM, NH, with ND, PE",,near,0,phy/vac,PV,cas/vac/phy,1579.9,1,TM,4,TM-1,,5,10,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,
2024-07-25,NH,"TM, NH, with ND, PE",,near,0,phy/vac,PV,cas/vac/phy,1579.9,1,TM,5,TM-1,,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,
